"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Demanda_ocupacio","Nombre"
2023,1,9,"Sant Andreu",62,"el Congrés i els Indians","Homes","Atur Registrat",228
2023,1,9,"Sant Andreu",63,"Navas","Homes","Atur Registrat",354
2023,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Homes","Atur Registrat",660
2023,1,10,"Sant Martí",65,"el Clot","Homes","Atur Registrat",459
2023,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Homes","Atur Registrat",230
2023,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Homes","Atur Registrat",156
2023,1,10,"Sant Martí",68,"el Poblenou","Homes","Atur Registrat",534
2023,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Homes","Atur Registrat",287
2023,1,10,"Sant Martí",70,"el Besòs i el Maresme","Homes","Atur Registrat",654
2023,1,10,"Sant Martí",71,"Provençals del Poblenou","Homes","Atur Registrat",377
2023,1,10,"Sant Martí",72,"Sant Martí de Provençals","Homes","Atur Registrat",497
2023,1,10,"Sant Martí",73,"la Verneda i la Pau","Homes","Atur Registrat",561
2023,1,99,"No consta",99,"No consta","Homes","Atur Registrat",20
2023,1,1,"Ciutat Vella",1,"el Raval","Homes","Demanda No Aturats",481
2023,1,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Demanda No Aturats",156
2023,1,1,"Ciutat Vella",3,"la Barceloneta","Homes","Demanda No Aturats",149
2023,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Demanda No Aturats",204
2023,1,2,"Eixample",5,"el Fort Pienc","Homes","Demanda No Aturats",161
2023,1,2,"Eixample",6,"la Sagrada Família","Homes","Demanda No Aturats",277
2023,1,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Demanda No Aturats",162
2023,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Demanda No Aturats",203
2023,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Homes","Demanda No Aturats",298
2023,1,2,"Eixample",10,"Sant Antoni","Homes","Demanda No Aturats",227
2023,1,3,"Sants-Montjuïc",11,"el Poble Sec","Homes","Demanda No Aturats",290
2023,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Homes","Demanda No Aturats",22
2023,1,3,"Sants-Montjuïc",13,"la Marina de Port","Homes","Demanda No Aturats",325
2023,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Homes","Demanda No Aturats",76
2023,1,3,"Sants-Montjuïc",15,"Hostafrancs","Homes","Demanda No Aturats",98
2023,1,3,"Sants-Montjuïc",16,"la Bordeta","Homes","Demanda No Aturats",115
2023,1,3,"Sants-Montjuïc",17,"Sants - Badal","Homes","Demanda No Aturats",124
2023,1,3,"Sants-Montjuïc",18,"Sants","Homes","Demanda No Aturats",233
2023,1,4,"Les Corts",19,"les Corts","Homes","Demanda No Aturats",230
2023,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Homes","Demanda No Aturats",122
2023,1,4,"Les Corts",21,"Pedralbes","Homes","Demanda No Aturats",20
2023,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Homes","Demanda No Aturats",13
2023,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Homes","Demanda No Aturats",53
2023,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Homes","Demanda No Aturats",52
2023,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Homes","Demanda No Aturats",67
2023,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Homes","Demanda No Aturats",99
2023,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Homes","Demanda No Aturats",109
